Key,Type,EngName,KrName,PrefabPath,Layer,AttackType,ProjectilePath,SpawnLine,Hp,Atk,AtkRange,AtkCoolTime,CriRate
0,Player,Diana,디아나,Prefabs/Elf/ElfPaladin,Front,Melee,,0,130,5,0.75,0.9,0.15
1,Player,Gwin,그윈,Prefabs/Elf/ElfKnight,Front,Melee,,0,120,6,0.75,1.2,0.15
2,Player,Alette,알레트,Prefabs/Elf/ElfDestroyer,Front,Melee,,0,110,7,0.75,1.5,0.15
3,Player,Ed,이드,Prefabs/Elf/ElfBishop,Middle,Range,,1,100,8,5,1,0
4,Player,Lonan,로난,Prefabs/Elf/ElfRuneBlade,Middle,Melee,,1,90,9,5,1,0.25
5,Player,Jade,제이드,Prefabs/Elf/ElfMage,Middle,Range,Prefabs/Effect/ElfAttack,1,80,10,7,1,0.25
6,Player,Levi,레비,Prefabs/Elf/ElfAssassin,Back,Melee,,2,70,11,0.75,1,0.35
7,Player,Erdin,에르딘,Prefabs/Elf/ElfArcher,Back,Range,,2,60,12,5,1,0.3
8,Player,Sylla,실라,Prefabs/Elf/ElfHunter,Back,Range,,2,50,13,7,1,0.3
9,Player,Ornn,오른,Prefabs/Human/HumanWarlord,Front,Melee,,0,130,5,0.75,1,0.15
10,Player,Luke,루크,Prefabs/Human/HumanLancelot,Front,Melee,,0,120,6,0.75,1,0.15
11,Player,Lethita,리시타,Prefabs/Human/HumanGladiator,Front,Melee,,0,110,7,0.75,1,0.15
12,Player,Eisen,아이젠,Prefabs/Human/HumanBerserker,Middle,Melee,,1,100,8,5,1,0
13,Player,Sein,자인,Prefabs/Human/HumanDarkknight,Middle,Melee,,1,90,9,5,1,0.25
14,Player,Chris,크리스,Prefabs/Human/HumanSoldier,Middle,Melee,,1,80,10,7,1,0.25
15,Player,Silphi,실피,Prefabs/Human/HumanMarkman,Back,Range,,2,70,11,0.75,1,0.35
16,Player,Hilde,힐데,Prefabs/Human/HumanHealer,Back,Range,,2,60,12,5,1,0.3
17,Player,Elena,엘레나,Prefabs/Human/HumanSorceress,Back,Range,,2,50,13,7,1,0.3
18,Monster,SkeltonMinion,없음,Prefabs/Skelton/SkeltonMinion,Middle,Melee,,1,50,5,0.75,0.9,0.15
19,Monster,SkeltonArcher,없음,Prefabs/Skelton/SkeltonArcher,Back,Range,Prefabs/Effect/SkeltonArrow,2,30,7,5,1.5,0.15
20,Monster,SkeltonDefender,없음,Prefabs/Skelton/SkeltonDefender,Front,Melee,,0,70,3,0.75,0.9,0.15
21,Monster,SkeltonWarrior,없음,Prefabs/Skelton/SkeltonWarrior,Middle,Melee,,1,300,10,0.75,0.9,0.15
22,Monster,SkeltonDestroyer,없음,Prefabs/Skelton/SkeltonDestroyer,Front,Melee,,0,150,15,0.75,0.9,0.15
23,Monster,SkeltonShaman,없음,Prefabs/Skelton/SkeltonShaman,Middle,Range,Prefabs/Effect/SkeltonFlame,1,100,7,5,0.9,0.15
24,Monster,SkeltonAssassin,없음,Prefabs/Skelton/SkeltonAssassin,Back,Melee,,2,80,25,0.75,0.9,0.15
25,Monster,SkeltonMage,없음,Prefabs/Skelton/SkeltonMage,Back,Range,Prefabs/Effect/SkeltonFlame,2,250,35,7,0.9,0.15
26,Monster,SkeltonKnight,없음,Prefabs/Skelton/SkeltonKnight,Front,Melee,,0,500,50,4,0.9,0.15
