Key,Name,PrefabPath,Layer,SpawnLine,Hp,HpPerWave,HpGrowthRate,Atk,AtkPerWave,AtkGrowthRate,AtkCoolTime,CriRate,Range,Type
100,SkeltonMinion,Prefabs/Skelton/SkeltonMinion,Middle,1,50,20,1.1,5,3,1.1,0.9,0.15,0.75,Melee
101,SkeltonArcher,Prefabs/Skelton/SkeltonArcher,Back,2,30,20,1.1,7,3,1.1,0.9,0.15,5,Range
102,SkeltonDefender,Prefabs/Skelton/SkeltonDefender,Front,0,70,20,1.1,3,3,1.1,0.9,0.15,0.75,Melee
103,SkeltonWarrior,Prefabs/Skelton/SkeltonWarrior,Middle,1,300,20,1.1,10,3,1.1,0.9,0.15,0.75,Melee
104,SkeltonDestroyer,Prefabs/Skelton/SkeltonDestroyer,Front,0,150,20,1.1,15,3,1.1,0.9,0.15,0.75,Melee
105,SkeltonShaman,Prefabs/Skelton/SkeltonShaman,Middle,1,100,20,1.1,7,3,1.1,0.9,0.15,5,Range
106,SkeltonAssassin,Prefabs/Skelton/SkeltonAssassin,Back,2,80,20,1.1,25,3,1.1,0.9,0.15,0.75,Melee
107,SkeltonMage,Prefabs/Skelton/SkeltonMage,Back,2,250,20,1.1,35,3,1.1,0.9,0.15,7,Range
108,SkeltonKnight,Prefabs/Skelton/SkeltonKnight,Front,0,500,20,1.1,50,3,1.1,0.9,0.15,4,Melee
109,DevilVanguard,Prefabs/Devil/DevilVanguard,Front,0,130,20,1.1,5,3,1.1,0.9,0.15,0.75,Melee
110,DevilBreaker,Prefabs/Devil/DevilBreaker,Front,0,120,20,1.1,6,3,1.1,0.9,0.15,0.75,Melee
111,DevilPrivate,Prefabs/Devil/DevilPrivate,Front,0,110,20,1.1,7,3,1.1,0.9,0.15,0.75,Melee
112,DevilWitch,Prefabs/Devil/DevilWitch,Middle,1,100,20,1.1,8,3,1.1,0.9,0,5,Range
113,DevilWizard,Prefabs/Devil/DevilWizard,Middle,1,90,20,1.1,9,3,1.1,0.9,0.25,5,Range
114,DevilDarkpriest,Prefabs/Devil/DevilDarkpriest,Middle,1,80,20,1.1,10,3,1.1,0.9,0.25,7,Range
115,DevilRogue,Prefabs/Devil/DevilRogue,Back,2,70,20,1.1,11,3,1.1,0.9,0.35,0.75,Melee
116,DevilSniper,Prefabs/Devil/DevilSniper,Back,2,60,20,1.1,12,3,1.1,0.9,0.3,5,Range
117,DevilSorcerer,Prefabs/Devil/DevilSorcerer,Back,2,50,20,1.1,13,3,1.1,0.9,0.3,7,Range
