Key,AttackKey,UpgradeKey,EngName,KrName,CharacterSpritePath,CharacterPrefabPath,Layer,AttackType,Target,SpawnLine,UpgradeCost,MaxLevel
100,4000,300,Diana,디아나,Sprites/CardInfo/ElfPaladin,Prefabs/Elf/ElfPaladin,Front,Melee,Monster,0,5,5
101,4001,305,Gwin,그윈,Sprites/CardInfo/ElfKnight,Prefabs/Elf/ElfKnight,Front,Melee,Monster,0,5,5
102,4002,310,Alette,알레트,Sprites/CardInfo/ElfDestroyer,Prefabs/Elf/ElfDestroyer,Front,Melee,Monster,0,5,5
103,4003,315,Ed,이드,Sprites/CardInfo/ElfBishop,Prefabs/Elf/ElfBishop,Middle,Range,Monster,1,5,5
104,4004,320,Lonan,로난,Sprites/CardInfo/ElfRuneBlade,Prefabs/Elf/ElfRuneBlade,Middle,Melee,Monster,1,5,5
105,4005,325,Jade,제이드,Sprites/CardInfo/ElfMage,Prefabs/Elf/ElfMage,Middle,Range,Monster,1,5,5
106,4006,330,Levi,레비,Sprites/CardInfo/ElfAssassin,Prefabs/Elf/ElfAssassin,Back,Melee,Monster,2,5,5
107,4007,335,Erdin,에르딘,Sprites/CardInfo/ElfArcher,Prefabs/Elf/ElfArcher,Back,Range,Monster,2,5,5
108,4008,340,Sylla,실라,Sprites/CardInfo/ElfHunter,Prefabs/Elf/ElfHunter,Back,Range,Monster,2,5,5
109,4009,345,Ornn,오른,Sprites/CardInfo/HumanWarlord,Prefabs/Human/HumanWarlord,Front,Melee,Monster,0,5,5
110,4010,350,Luke,루크,Sprites/CardInfo/HumanLancelot,Prefabs/Human/HumanLancelot,Front,Melee,Monster,0,5,5
111,4011,355,Lethita,리시타,Sprites/CardInfo/HumanGladiator,Prefabs/Human/HumanGladiator,Front,Melee,Monster,0,5,5
112,4012,360,Eisen,아이젠,Sprites/CardInfo/HumanBerserker,Prefabs/Human/HumanBerserker,Middle,Melee,Monster,1,5,5
113,4013,365,Sein,자인,Sprites/CardInfo/HumanDarkknight,Prefabs/Human/HumanDarkknight,Middle,Melee,Monster,1,5,5
114,4014,370,Chris,크리스,Sprites/CardInfo/HumanSoldier,Prefabs/Human/HumanSoldier,Middle,Melee,Monster,1,5,5
115,4015,375,Silphi,실피,Sprites/CardInfo/HumanMarkman,Prefabs/Human/HumanMarkman,Back,Range,Monster,2,5,5
116,4016,380,Hilde,힐데,Sprites/CardInfo/HumanHealer,Prefabs/Human/HumanHealer,Back,Range,Monster,2,5,5
117,4017,385,Elena,엘레나,Sprites/CardInfo/HumanSorceress,Prefabs/Human/HumanSorceress,Back,Range,Monster,2,5,5
