Key,StatKey,Name,MaxLevel,Hp,Mp,Atk,BaseSkill,Ultimate,CriRate,Range,AtkCoolTime,UltCoolTime,CanUseUlt
2000,3000,Diana,5,130,100,5,1.2,0,0.15,0.75,0.9,0,FALSE
2001,3000,Diana,5,150,100,5.5,1.25,0,0.15,0.75,0.9,0,FALSE
2002,3000,Diana,5,170,100,6,1.3,1.5,0.2,0.75,0.9,30,TRUE
2003,3000,Diana,5,190,90,6.5,1.35,1.59,0.2,0.75,0.9,30,TRUE
2004,3000,Diana,5,210,80,7,1.4,1.75,0.2,0.75,0.75,30,TRUE
2005,3001,Gwin,5,120,100,6,1.15,0,0.15,0.75,1.2,0,FALSE
2006,3001,Gwin,5,135,100,6.15,1.2,0,0.15,0.75,1.2,0,FALSE
2007,3001,Gwin,5,150,95,6.3,1.25,1.4,0.175,0.75,1.2,30,TRUE
2008,3001,Gwin,5,165,90,6.45,1.3,1.5,0.175,0.75,1.2,30,TRUE
2009,3001,Gwin,5,180,85,6.6,1.35,1.6,0.175,0.75,1,30,TRUE
2010,3002,Alette,5,110,100,7,1.25,0,0.15,0.75,1.5,0,FALSE
2011,3002,Alette,5,130,100,7.3,1.275,0,0.15,0.75,1.5,0,FALSE
2012,3002,Alette,5,150,96,7.6,1.3,1.5,0.15,0.75,1.5,30,TRUE
2013,3002,Alette,5,170,92,7.9,1.325,1.53,0.15,0.75,1.5,30,TRUE
2014,3002,Alette,5,190,88,8.2,1.35,1.56,0.15,0.75,1.25,30,TRUE
2015,3003,Ed,5,100,100,8,1.25,1.5,0,5,1,0,FALSE
2016,3003,Ed,5,100,100,8,1.25,1.5,0,5,1,0,FALSE
2017,3003,Ed,5,100,100,8,1.25,1.5,0,5,1,30,TRUE
2018,3003,Ed,5,100,100,8,1.25,1.5,0,5,1,30,TRUE
2019,3003,Ed,5,100,100,8,1.25,1.5,0,5,1,30,TRUE
2020,3004,Lonan,5,90,100,9,1.25,1.5,0.25,5,1,0,FALSE
2021,3004,Lonan,5,90,100,9,1.25,1.5,0.25,5,1,0,FALSE
2022,3004,Lonan,5,90,100,9,1.25,1.5,0.25,5,1,30,TRUE
2023,3004,Lonan,5,90,100,9,1.25,1.5,0.25,5,1,30,TRUE
2024,3004,Lonan,5,90,100,9,1.25,1.5,0.25,5,1,30,TRUE
2025,3005,Jade,5,80,100,10,1.25,1.5,0.25,7,1,0,FALSE
2026,3005,Jade,5,80,100,10,1.25,1.5,0.25,7,1,0,FALSE
2027,3005,Jade,5,80,100,10,1.25,1.5,0.25,7,1,30,TRUE
2028,3005,Jade,5,80,100,10,1.25,1.5,0.25,7,1,30,TRUE
2029,3005,Jade,5,80,100,10,1.25,1.5,0.25,7,1,30,TRUE
2030,3006,Levi,5,70,100,11,1.25,1.5,0.35,0.75,1,0,FALSE
2031,3006,Levi,5,70,100,11,1.25,1.5,0.35,0.75,1,0,FALSE
2032,3006,Levi,5,70,100,11,1.25,1.5,0.35,0.75,1,30,TRUE
2033,3006,Levi,5,70,100,11,1.25,1.5,0.35,0.75,1,30,TRUE
2034,3006,Levi,5,70,100,11,1.25,1.5,0.35,0.75,1,30,TRUE
2035,3007,Erdin,5,60,100,12,1.25,1.5,0.3,5,1,0,FALSE
2036,3007,Erdin,5,60,100,12,1.25,1.5,0.3,5,1,0,FALSE
2037,3007,Erdin,5,60,100,12,1.25,1.5,0.3,5,1,30,TRUE
2038,3007,Erdin,5,60,100,12,1.25,1.5,0.3,5,1,30,TRUE
2039,3007,Erdin,5,60,100,12,1.25,1.5,0.3,5,1,30,TRUE
2040,3008,Sylla,5,50,100,13,1.25,1.5,0.3,7,1,0,FALSE
2041,3008,Sylla,5,50,100,13,1.25,1.5,0.3,7,1,0,FALSE
2042,3008,Sylla,5,50,100,13,1.25,1.5,0.3,7,1,30,TRUE
2043,3008,Sylla,5,50,100,13,1.25,1.5,0.3,7,1,30,TRUE
2044,3008,Sylla,5,50,100,13,1.25,1.5,0.3,7,1,30,TRUE
2045,3009,Ornn,5,130,100,5,1.25,1.5,0.15,0.75,1,0,FALSE
2046,3009,Ornn,5,130,100,5,1.25,1.5,0.15,0.75,1,0,FALSE
2047,3009,Ornn,5,130,100,5,1.25,1.5,0.15,0.75,1,30,TRUE
2048,3009,Ornn,5,130,100,5,1.25,1.5,0.15,0.75,1,30,TRUE
2049,3009,Ornn,5,130,100,5,1.25,1.5,0.15,0.75,1,30,TRUE
2050,3010,Luke,5,120,100,6,1.25,1.5,0.15,0.75,1,0,FALSE
2051,3010,Luke,5,120,100,6,1.25,1.5,0.15,0.75,1,0,FALSE
2052,3010,Luke,5,120,100,6,1.25,1.5,0.15,0.75,1,30,TRUE
2053,3010,Luke,5,120,100,6,1.25,1.5,0.15,0.75,1,30,TRUE
2054,3010,Luke,5,120,100,6,1.25,1.5,0.15,0.75,1,30,TRUE
2055,3011,Lethita,5,110,100,7,1.25,1.5,0.15,0.75,1,0,FALSE
2056,3011,Lethita,5,110,100,7,1.25,1.5,0.15,0.75,1,0,FALSE
2057,3011,Lethita,5,110,100,7,1.25,1.5,0.15,0.75,1,30,TRUE
2058,3011,Lethita,5,110,100,7,1.25,1.5,0.15,0.75,1,30,TRUE
2059,3011,Lethita,5,110,100,7,1.25,1.5,0.15,0.75,1,30,TRUE
2060,3012,Eisen,5,100,100,8,1.25,1.5,0,5,1,0,FALSE
2061,3012,Eisen,5,100,100,8,1.25,1.5,0,5,1,0,FALSE
2062,3012,Eisen,5,100,100,8,1.25,1.5,0,5,1,30,TRUE
2063,3012,Eisen,5,100,100,8,1.25,1.5,0,5,1,30,TRUE
2064,3012,Eisen,5,100,100,8,1.25,1.5,0,5,1,30,TRUE
2065,3013,Sein,5,90,100,9,1.25,1.5,0.25,5,1,0,FALSE
2066,3013,Sein,5,90,100,9,1.25,1.5,0.25,5,1,0,FALSE
2067,3013,Sein,5,90,100,9,1.25,1.5,0.25,5,1,30,TRUE
