Key,BaseDuration,SkillDuration,UltDuration,BaseEffectValue,SkillEffectValue,UltEffectValue,DotDamageRate
6000,0,0,5,0,0,1.5,0.2
6001,0,0,5,0,0,1.5,0.2
6002,0,0,5,0,0,1.5,0.2
6003,0,0,5,0,0,1.5,0.2
6004,0,0,5,0,0,1.5,0.2
6005,0,5,4,0,0,0,0.2
6006,0,5,4,0,0,0,0.2
6007,0,5,4,0,0,0,0.2
6008,0,5,4,0,0,0,0.2
6009,0,5,4,0,0,0,0.2
6010,0,15,0,0,0.6,0,0.2
6011,0,15,0,0,0.6,0,0.2
6012,0,15,0,0,0.6,0,0.2
6013,0,15,0,0,0.6,0,0.2
6014,0,15,0,0,0.6,0,0.2
6015,0,0,0,0,30,0,0
6016,0,0,0,0,33,0,0
6017,0,0,0,0,39,0,0
6018,0,0,0,0,48,0,0
6019,0,0,0,0,60,0,0
6020,0,0,0,0,2,0,0.2
6021,0,0,0,0,2,0,0.2
6022,0,0,0,0,2,0,0.2
6023,0,0,0,0,2,0,0.2
6024,0,0,0,0,2,0,0.2
6025,0,0,0,0,2,0,0.2
6026,0,0,0,0,2,0,0.2
6027,0,0,0,0,2,0,0.2
6028,0,0,0,0,2,0,0.2
6029,0,0,0,0,2,0,0.2
6030,0,0,5,0,0,0.33,0.35
6031,0,0,5,0,0,0.33,0.35
6032,0,0,5,0,0,0.33,0.35
6033,0,0,5,0,0,0.33,0.35
6034,0,0,5,0,0,0.33,0.35
6035,0,4,4,0,2,0.75,0.1
6036,0,5.25,4.5,0,1.75,0.7,0.15
6037,0,6,5,0,1.5,0.65,0.2
6038,0,7.25,5.5,0,1.25,0.6,0.25
6039,0,6,6,0,1,0.5,0.3
6040,0,0,0,0,2,0,0.2
6041,0,0,0,0,2,0,0.2
6042,0,0,0,0,2,0,0.2
6043,0,0,0,0,2,0,0.2
6044,0,0,0,0,2,0,0.2
