Key,EngName,Hp,Mp,MpTickRate,Atk,SkillAtkRate,UltAtkRate,CriRate,AtkRange,UltCoolTime,CanUseUlt
300,Diana,10000,100,1,20,1.2,0,15,1.75,0,FALSE
301,Diana,10000,100,4,25,1.25,0,17,1.75,0,FALSE
302,Diana,10000,100,3,30,1.3,1.5,19,1.75,30,TRUE
303,Diana,10000,100,2,35,1.35,1.59,21,1.75,30,TRUE
304,Diana,10000,100,1,40,1.4,1.75,23,1.75,30,TRUE
305,Gwin,5,120,3,4,1.15,1,17,1.75,0,FALSE
306,Gwin,10000,120,3.5,5,1.2,0,18,1.75,0,FALSE
307,Gwin,150,120,3,7,1.25,1.2,19,1.75,30,TRUE
308,Gwin,165,120,2.5,9,1.3,1.3,20,1.75,30,TRUE
309,Gwin,180,120,2,11,1.35,1.4,21,1.75,30,TRUE
310,Alette,10000,100,0.6,4,1.25,2,15,1.75,0,FALSE
311,Alette,130,100,1,7.3,1.275,0,15,1.75,0,FALSE
312,Alette,150,96,1,7.6,1.3,1.5,15,1.75,30,TRUE
313,Alette,170,92,1,7.9,1.325,1.53,15,1.75,30,TRUE
314,Alette,190,88,1,8.2,1.35,1.56,15,1.75,30,TRUE
315,Ed,100,100,1,8,1.25,1.5,25,4.5,0,FALSE
316,Ed,100,100,1,8,1.25,1.5,25,4.5,0,FALSE
317,Ed,100,100,1,8,1.25,1.5,25,4.5,30,TRUE
318,Ed,100,100,1,8,1.25,1.5,25,4.5,30,TRUE
319,Ed,100,100,1,8,1.25,1.5,25,4.5,30,TRUE
320,Lonan,10000,100,1,9,1.25,1.5,25,6,0,FALSE
321,Lonan,10000,100,1,9,1.25,1.5,25,6,0,FALSE
322,Lonan,10000,100,1,9,1.25,1.5,25,6,30,TRUE
323,Lonan,10000,100,1,9,1.25,1.5,25,6,30,TRUE
324,Lonan,10000,100,1,9,1.25,1.5,25,6,30,TRUE
325,Jade,80,100,1,10,1.25,1.5,25,4.5,0,FALSE
326,Jade,80,100,1,10,1.25,1.5,25,4.5,0,FALSE
327,Jade,80,100,1,10,1.25,1.5,25,4.5,30,TRUE
328,Jade,80,100,1,10,1.25,1.5,25,4.5,30,TRUE
329,Jade,80,100,1,10,1.25,1.5,25,4.5,30,TRUE
330,Levi,70,100,1,11,1.25,1.5,0.35,1.75,0,FALSE
331,Levi,70,100,1,11,1.25,1.5,0.35,1.75,0,FALSE
332,Levi,70,100,1,11,1.25,1.5,0.35,1.75,30,TRUE
333,Levi,70,100,1,11,1.25,1.5,0.35,1.75,30,TRUE
334,Levi,70,100,1,11,1.25,1.5,0.35,1.75,30,TRUE
335,Erdin,10000,100,1,10,1.2,1.5,0.3,4.5,0,FALSE
336,Erdin,10000,100,1,12,1.25,1.75,0.3,4.5,0,FALSE
337,Erdin,10000,100,1,14,1.3,2,0.3,4.5,30,TRUE
338,Erdin,10000,100,1,16,1.35,2.25,0.3,4.5,30,TRUE
339,Erdin,10000,100,1,18,1.4,2.5,0.3,4.5,30,TRUE
340,Sylla,50,100,1,13,1.25,1.5,0.3,4.5,0,FALSE
341,Sylla,50,100,1,13,1.25,1.5,0.3,4.5,0,FALSE
342,Sylla,50,100,1,13,1.25,1.5,0.3,4.5,30,TRUE
343,Sylla,50,100,1,13,1.25,1.5,0.3,4.5,30,TRUE
344,Sylla,50,100,1,13,1.25,1.5,0.3,4.5,30,TRUE
