Key,StageKey,MonsterKey,Name,Count,SpawnLine
2000,1000,200,SkeltonMinion,0,1
2001,1000,207,SkeltonMage,1,2
2002,1001,202,SkeltonDefender,1,0
2003,1001,200,SkeltonMinion,3,1
2004,1001,201,SkeltonArcher,3,2
2005,1002,202,SkeltonDefender,3,0
2006,1002,200,SkeltonMinion,3,1
2007,1003,203,SkeltonWarrior,1,1
2008,1003,202,SkeltonDefender,3,0
2009,1003,201,SkeltonArcher,3,2
2010,1004,203,SkeltonWarrior,3,1
2011,1004,202,SkeltonDefender,3,0
2012,1004,201,SkeltonArcher,3,2
2013,1005,204,SkeltonDestroyer,2,0
2014,1005,205,SkeltonShaman,2,1
2015,1006,204,SkeltonDestroyer,3,0
2016,1006,205,SkeltonShaman,3,1
2017,1006,206,SkeltonAssassin,1,2
2018,1007,204,SkeltonDestroyer,3,0
2019,1007,206,SkeltonAssassin,3,2
2020,1008,204,SkeltonDestroyer,3,0
2021,1008,205,SkeltonShaman,3,1
2022,1008,207,SkeltonMage,1,2
2023,1009,204,SkeltonDestroyer,3,0
2024,1009,205,SkeltonShaman,3,1
2025,1009,207,SkeltonMage,3,2
2026,1010,208,SkeltonKnight,1,0
2027,1010,205,SkeltonShaman,2,1
2028,1010,207,SkeltonMage,2,2
2029,1011,208,SkeltonKnight,2,0
2030,1011,205,SkeltonShaman,2,1
2031,1011,207,SkeltonMage,2,2
2032,1012,208,SkeltonKnight,3,0
2033,1012,205,SkeltonShaman,3,1
2034,1012,207,SkeltonMage,3,2
